Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Fuel_Price_Category
SC-10030,2024-10-11,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,1.22,6.5,Storm,0.893,25.79,0,Low
SC-10031,2024-01-07,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1,High
SC-10032,2024-06-12,Singapore,Dubai,Road,Perishables,1443.25,282.64,4.1,0.4,Storm,0.862,2.5,1,High
SC-10033,2025-12-15,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,4.15,9.2,Rain,0.693,16.61,1,High
SC-10034,2025-03-08,Hamburg,Singapore,Air,Textiles,14501.66,83.96,3.38,6.1,Rain,0.537,1.62,0,Medium
SC-10035,2024-12-14,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,2.34,8.1,Fog,0.906,15.57,0,Medium
SC-10036,2024-10-11,Busan,Marseille,Road,Textiles,4916.9,308.98,4.15,3.8,Hurricane,0.79,27.96,1,High
SC-10037,2024-06-08,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,2.16,4.7,Storm,0.618,5.17,1,Medium
SC-10038,2024-08-08,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1,Medium
SC-10039,2024-12-10,Singapore,Busan,Rail,Perishables,6882.21,461.38,1.53,4.1,Storm,0.523,17.32,1,Low
SC-10040,2024-04-14,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,4.24,5.3,Fog,0.601,0.5,1,High
SC-10041,2024-04-04,Busan,Antwerp,Rail,Electronics,7680.07,296.27,1.66,0.2,Storm,0.876,15.87,1,Low
SC-10042,2025-01-24,Dubai,Los Angeles,Sea,Textiles,998.63,96.82,1.94,1.6,Fog,0.855,2.84,0,Low
SC-10043,2024-04-09,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,3.04,6.4,Fog,0.645,18.12,0,Medium
SC-10044,2025-01-02,Dubai,Rotterdam,Sea,Textiles,4252.31,312.07,3.72,7.2,Storm,0.531,25.25,1,Medium
SC-10045,2024-12-18,Busan,Los Angeles,Road,Textiles,10106.57,301.63,3.24,5.8,Rain,0.929,9.76,1,Medium
SC-10046,2025-09-10,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,1.97,1.4,Storm,0.657,8.72,1,Low
SC-10047,2024-09-27,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,1.2,4.5,Rain,0.598,16.27,1,Low
SC-10048,2024-02-14,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,3.7,3.6,Hurricane,0.758,110.18,1,Medium
SC-10049,2025-04-15,Singapore,Los Angeles,Air,Perishables,3180.39,260.14,4.45,5.0,Hurricane,0.955,1.85,1,High
SC-10050,2025-07-03,Dubai,Antwerp,Rail,Pharmaceuticals,14558.98,99.58,3.87,8.7,Fog,0.522,21.27,0,Medium
SC-10051,2024-05-07,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,2.72,7.8,Rain,0.883,11.65,0,Medium
SC-10052,2025-01-22,Hamburg,Busan,Road,Perishables,14122.73,93.7,4.18,0.8,Hurricane,0.786,70.01,1,High
SC-10053,2024-03-21,Dubai,Shanghai,Rail,Textiles,13475.0,43.4,2.55,8.9,Hurricane,0.713,107.82,1,Medium
SC-10054,2025-07-19,Shanghai,Rotterdam,Road,Automotive,9169.55,218.69,2.93,4.7,Storm,0.872,19.8,1,Medium
SC-10055,2024-10-27,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,2.77,7.4,Rain,0.983,1.65,1,Medium
SC-10056,2025-10-05,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,2.68,1.4,Rain,0.615,0.74,0,Medium
SC-10057,2025-09-25,Busan,Los Angeles,Sea,Textiles,3341.75,139.1,3.76,6.7,Storm,0.572,18.83,0,Medium
SC-10058,2025-01-05,Rotterdam,Shanghai,Road,Textiles,1155.8,279.53,2.94,2.4,Rain,0.956,1.32,0,Medium
SC-10059,2025-08-14,Antwerp,Rotterdam,Road,Textiles,5217.29,174.15,2.25,4.4,Fog,0.834,5.57,0,Medium
SC-10060,2024-07-15,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,2.05,0.2,Fog,0.719,12.92,0,Medium
SC-10061,2025-12-22,Hamburg,Singapore,Road,Perishables,4434.56,461.4,1.32,1.5,Hurricane,0.787,23.3,1,Low
SC-10062,2024-03-12,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,3.12,0.9,Rain,0.873,9.0,0,Medium
SC-10063,2024-02-16,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,1.96,2.4,Storm,0.887,11.04,0,Low
SC-10064,2025-11-08,Shanghai,Rotterdam,Rail,Textiles,4573.55,368.83,1.69,1.0,Clear,0.96,3.09,0,Low
SC-10065,2024-08-21,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,3.36,6.9,Storm,0.713,47.52,1,Medium
SC-10066,2024-10-23,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,3.45,0.3,Fog,0.647,0.85,0,Medium
SC-10067,2024-03-22,Busan,Los Angeles,Air,Automotive,12131.86,168.83,3.68,6.2,Clear,0.82,0.5,0,Medium
SC-10068,2024-08-26,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,2.86,1.4,Rain,0.708,3.32,1,Medium
SC-10069,2024-04-13,Dubai,Singapore,Rail,Electronics,14809.86,6.99,4.15,9.5,Fog,0.797,23.13,0,High
SC-10070,2025-01-24,Shanghai,Antwerp,Sea,Textiles,11697.55,276.85,4.29,9.3,Fog,0.71,36.52,1,High
SC-10071,2024-10-11,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,3.86,2.3,Rain,0.576,6.46,0,Medium
SC-10072,2025-04-09,Singapore,Hamburg,Sea,Textiles,580.07,243.02,3.3,6.1,Hurricane,0.735,8.4,1,Medium
SC-10073,2025-10-12,Shanghai,Los Angeles,Rail,Perishables,12324.19,43.62,2.2,0.3,Rain,0.845,10.99,0,Medium
SC-10074,2025-01-08,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,4.44,9.3,Storm,0.9,66.01,1,High
SC-10075,2024-06-15,Busan,Dubai,Rail,Automotive,11070.6,259.49,2.1,5.2,Storm,0.747,30.22,1,Medium
SC-10076,2025-01-14,Rotterdam,Antwerp,Air,Pharmaceuticals,11683.42,307.48,1.87,0.4,Rain,0.583,1.23,0,Low
SC-10077,2024-12-29,Busan,Marseille,Sea,Electronics,1573.65,119.07,2.66,3.4,Storm,0.707,7.76,1,Medium
SC-10078,2024-08-02,Singapore,Marseille,Road,Electronics,5697.75,242.27,1.39,0.8,Fog,0.893,4.7,0,Low
SC-10079,2025-11-17,Singapore,Antwerp,Air,Pharmaceuticals,2180.1,215.15,4.43,3.9,Hurricane,0.706,0.8,1,High
SC-10080,2024-09-30,Antwerp,Singapore,Sea,Perishables,13015.0,38.37,3.14,6.7,Storm,0.848,71.68,1,Medium
SC-10081,2025-12-19,Busan,Hamburg,Sea,Pharmaceuticals,9537.82,53.97,3.04,4.7,Hurricane,0.754,130.77,1,Medium
SC-10082,2025-11-30,Rotterdam,Shanghai,Sea,Perishables,5298.02,418.9,3.36,3.8,Fog,0.621,13.62,1,Medium
SC-10083,2025-10-25,Rotterdam,Hamburg,Sea,Electronics,1421.6,120.67,2.84,1.2,Rain,0.898,2.51,0,Medium
SC-10084,2024-03-14,Rotterdam,Dubai,Rail,Perishables,5009.24,98.28,1.31,2.4,Hurricane,0.542,31.75,1,Low
SC-10085,2025-09-15,Shanghai,Hamburg,Rail,Perishables,5215.16,252.95,3.22,1.0,Clear,0.762,3.97,1,Medium
SC-10086,2025-10-12,Antwerp,Dubai,Rail,Automotive,11079.29,384.6,3.56,8.1,Fog,0.604,16.0,0,Medium
SC-10087,2024-06-24,Dubai,Antwerp,Road,Textiles,9744.58,31.91,2.58,1.4,Clear,0.534,6.24,0,Medium
SC-10088,2025-06-30,Antwerp,Los Angeles,Air,Textiles,13364.58,288.83,3.7,6.0,Fog,0.751,1.59,1,Medium
SC-10089,2024-09-07,Antwerp,Dubai,Air,Electronics,7347.12,60.49,1.95,3.4,Hurricane,0.75,3.66,1,Low
SC-10090,2024-06-16,Los Angeles,Singapore,Air,Electronics,2234.12,19.19,1.93,2.3,Rain,0.853,0.5,1,Low
SC-10091,2025-04-18,Hamburg,Rotterdam,Rail,Textiles,10842.05,27.32,1.73,6.4,Storm,0.872,29.43,1,Low
SC-10092,2025-01-23,Antwerp,Singapore,Rail,Pharmaceuticals,11531.38,417.25,2.43,4.6,Hurricane,0.864,78.49,1,Medium
SC-10093,2024-10-03,Dubai,Singapore,Air,Automotive,8638.52,59.87,4.0,4.0,Fog,0.705,1.94,1,Medium
SC-10094,2025-10-17,Hamburg,Singapore,Air,Textiles,11679.02,23.53,3.93,5.9,Hurricane,0.816,6.92,1,Medium
SC-10095,2025-12-05,Busan,Dubai,Sea,Automotive,7660.04,219.51,2.46,4.9,Rain,0.788,15.17,1,Medium
SC-10096,2025-07-24,Rotterdam,Los Angeles,Rail,Automotive,8079.63,422.15,3.14,3.0,Hurricane,0.711,50.51,1,Medium
SC-10097,2024-08-12,Rotterdam,Hamburg,Air,Textiles,6699.34,131.94,3.58,5.6,Hurricane,0.799,3.61,1,Medium
SC-10098,2025-12-02,Antwerp,Busan,Air,Electronics,868.58,211.43,2.0,6.7,Hurricane,0.974,0.93,1,Low
SC-10099,2024-11-28,Hamburg,Marseille,Road,Pharmaceuticals,2064.43,20.92,1.75,0.3,Clear,0.596,0.99,0,Low
SC-10100,2024-02-27,Dubai,Shanghai,Air,Electronics,955.72,225.09,4.41,4.7,Fog,0.953,0.6,0,High
SC-10101,2024-08-22,Los Angeles,Antwerp,Sea,Textiles,9727.95,289.23,3.24,0.6,Clear,0.527,13.93,1,Medium
SC-10102,2024-02-02,Los Angeles,Rotterdam,Air,Textiles,5058.16,285.88,4.44,1.9,Storm,0.654,0.78,0,High
SC-10103,2024-11-19,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,2.31,5.6,Rain,0.644,17.18,0,Medium
SC-10104,2025-02-14,Hamburg,Busan,Rail,Textiles,13659.71,158.45,3.52,8.7,Hurricane,0.813,108.49,1,Medium
SC-10105,2024-10-01,Dubai,Marseille,Road,Pharmaceuticals,4114.74,54.21,1.93,8.8,Clear,0.566,3.39,1,Low
SC-10106,2024-03-08,Rotterdam,Dubai,Sea,Electronics,6450.55,184.03,2.06,0.7,Clear,0.941,9.61,0,Medium
SC-10107,2024-08-04,Rotterdam,Hamburg,Sea,Automotive,11455.49,50.65,2.89,4.2,Fog,0.914,28.85,0,Medium
SC-10108,2025-08-03,Dubai,Shanghai,Air,Perishables,3817.57,383.53,2.25,5.8,Hurricane,0.826,3.01,1,Medium
SC-10109,2024-11-18,Shanghai,Marseille,Road,Automotive,1616.21,483.17,1.75,1.5,Rain,0.729,1.59,0,Low
SC-10110,2024-08-05,Dubai,Singapore,Air,Textiles,4701.4,485.07,2.07,7.7,Fog,0.966,0.82,1,Medium
SC-10111,2025-11-02,Busan,Rotterdam,Air,Textiles,2837.71,432.67,1.32,7.4,Clear,0.915,0.5,1,Low
SC-10112,2025-05-26,Antwerp,Dubai,Road,Pharmaceuticals,13980.62,300.8,3.52,9.0,Clear,0.75,12.52,1,Medium
SC-10113,2025-02-09,Hamburg,Dubai,Air,Textiles,12217.75,350.73,2.82,0.1,Rain,0.851,0.61,0,Medium
SC-10114,2025-10-20,Antwerp,Dubai,Air,Textiles,9684.35,143.32,1.51,2.2,Clear,0.783,0.7,0,Low
SC-10115,2025-04-14,Singapore,Dubai,Air,Perishables,13136.18,315.75,1.77,8.3,Fog,0.794,0.99,1,Low
SC-10116,2024-05-26,Shanghai,Los Angeles,Rail,Automotive,12153.25,228.37,1.54,6.7,Rain,0.665,14.04,1,Low
SC-10117,2024-09-28,Singapore,Hamburg,Sea,Electronics,3205.27,241.53,3.22,8.9,Fog,0.731,9.81,1,Medium
SC-10118,2024-05-22,Antwerp,Los Angeles,Sea,Textiles,13442.11,379.13,1.51,0.6,Rain,0.539,24.04,0,Low
SC-10119,2024-09-09,Rotterdam,Antwerp,Air,Automotive,8320.46,141.68,3.69,6.0,Fog,0.679,2.04,1,Medium
SC-10120,2025-07-28,Singapore,Shanghai,Rail,Perishables,12207.88,159.7,1.27,5.7,Clear,0.848,11.27,0,Low
SC-10121,2025-07-05,Singapore,Shanghai,Road,Pharmaceuticals,13493.32,462.4,2.02,0.4,Fog,0.977,12.3,0,Medium
SC-10122,2024-09-26,Los Angeles,Rotterdam,Road,Electronics,5111.05,29.06,4.14,5.1,Rain,0.982,4.12,1,High
SC-10123,2025-08-21,Hamburg,Shanghai,Road,Pharmaceuticals,2095.75,243.33,3.57,6.1,Clear,0.778,2.08,1,Medium
SC-10124,2025-03-14,Rotterdam,Singapore,Air,Perishables,3805.06,456.49,1.44,1.9,Clear,0.803,0.5,0,Low
SC-10125,2025-08-20,Hamburg,Los Angeles,Air,Automotive,6693.06,305.57,3.91,2.7,Storm,0.593,1.46,1,Medium
SC-10126,2025-02-12,Hamburg,Los Angeles,Sea,Electronics,12361.21,273.66,2.83,6.4,Hurricane,0.848,182.19,1,Medium
SC-10127,2025-01-05,Rotterdam,Busan,Sea,Electronics,12980.59,125.62,3.99,4.7,Hurricane,0.535,177.59,1,Medium
SC-10128,2024-08-12,Singapore,Shanghai,Road,Electronics,600.81,172.29,3.18,8.6,Fog,0.642,0.5,0,Medium
SC-10129,2024-05-21,Hamburg,Shanghai,Road,Pharmaceuticals,7905.84,426.17,3.45,3.4,Fog,0.834,8.15,1,Medium
SC-10130,2025-06-05,Los Angeles,Dubai,Road,Electronics,6552.46,280.05,4.48,2.7,Hurricane,0.655,35.77,1,High
SC-10131,2025-05-20,Singapore,Hamburg,Air,Automotive,3720.56,257.86,1.97,9.8,Clear,0.525,0.57,0,Low
SC-10132,2024-04-03,Dubai,Busan,Road,Perishables,2238.05,50.69,3.26,9.1,Hurricane,0.916,15.06,1,Medium
SC-10133,2024-02-18,Busan,Los Angeles,Road,Perishables,5395.42,9.0,2.72,0.3,Rain,0.655,4.29,0,Medium
SC-10134,2024-04-22,Shanghai,Rotterdam,Sea,Electronics,14172.19,481.88,1.33,7.7,Fog,0.532,40.3,1,Low
SC-10135,2024-06-05,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,1.25,1.1,Storm,0.537,10.98,1,Low
SC-10136,2025-10-04,Antwerp,Rotterdam,Air,Textiles,8022.46,302.0,1.59,0.3,Hurricane,0.626,3.33,1,Low
SC-10137,2024-06-12,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,3.34,2.7,Rain,0.589,8.41,0,Medium
SC-10138,2025-11-27,Hamburg,Antwerp,Road,Pharmaceuticals,5772.63,341.87,3.07,2.7,Clear,0.887,4.34,1,Medium
SC-10139,2025-03-08,Singapore,Hamburg,Rail,Electronics,14590.84,466.35,3.03,8.2,Rain,0.661,17.28,0,Medium
SC-10140,2025-09-02,Antwerp,Dubai,Rail,Automotive,14455.49,288.26,1.31,7.1,Clear,0.902,14.49,1,Low
SC-10141,2024-03-06,Antwerp,Dubai,Sea,Perishables,4150.84,63.93,2.75,9.8,Storm,0.587,25.66,1,Medium
SC-10142,2025-01-29,Antwerp,Busan,Road,Automotive,7710.1,291.28,4.25,7.1,Fog,0.746,9.27,0,High
SC-10143,2025-01-25,Dubai,Shanghai,Road,Electronics,4862.74,383.41,2.51,4.2,Rain,0.844,4.8,0,Medium
SC-10144,2025-09-02,Singapore,Antwerp,Road,Textiles,4630.19,203.8,3.26,7.0,Hurricane,0.826,29.71,1,Medium
SC-10145,2025-04-24,Singapore,Shanghai,Air,Automotive,1034.86,440.04,3.77,10.0,Storm,0.801,0.99,1,Medium
SC-10146,2025-06-25,Hamburg,Busan,Rail,Textiles,9338.68,324.69,3.79,7.1,Fog,0.962,13.45,0,Medium
SC-10147,2024-09-14,Los Angeles,Antwerp,Air,Pharmaceuticals,7788.85,449.73,2.91,7.6,Fog,0.614,0.5,1,Medium
SC-10148,2025-07-20,Busan,Singapore,Sea,Perishables,1246.44,312.13,4.03,9.4,Rain,0.747,3.64,0,High
SC-10149,2024-01-12,Los Angeles,Rotterdam,Road,Textiles,4540.37,66.51,2.49,1.1,Storm,0.942,9.02,0,Medium
SC-10150,2025-11-27,Dubai,Hamburg,Air,Automotive,13669.86,155.54,4.13,7.0,Storm,0.539,3.36,0,High
SC-10151,2024-04-27,Los Angeles,Rotterdam,Road,Perishables,3973.65,101.7,1.99,8.5,Rain,0.528,3.09,1,Low
SC-10152,2025-11-29,Los Angeles,Hamburg,Air,Perishables,2600.98,454.5,2.12,9.5,Hurricane,0.617,1.27,1,Medium
SC-10153,2025-07-03,Hamburg,Singapore,Air,Textiles,7597.07,380.44,1.38,2.1,Rain,0.817,0.5,1,Low
SC-10154,2024-09-30,Busan,Singapore,Rail,Electronics,14791.93,338.52,3.83,5.0,Fog,0.63,18.87,1,Medium
SC-10155,2025-10-18,Rotterdam,Los Angeles,Rail,Textiles,4009.8,151.18,2.58,6.8,Storm,0.595,12.07,1,Medium
SC-10156,2024-12-14,Shanghai,Antwerp,Road,Perishables,10245.97,92.84,1.96,2.5,Storm,0.729,20.55,1,Low
SC-10157,2024-04-24,Rotterdam,Busan,Rail,Electronics,11543.48,378.47,1.96,6.0,Fog,0.807,15.62,0,Low
SC-10158,2024-10-27,Rotterdam,Shanghai,Air,Electronics,3945.74,237.6,4.17,2.6,Rain,0.624,0.55,1,High
SC-10159,2025-03-21,Shanghai,Rotterdam,Rail,Textiles,11059.14,113.67,3.95,3.3,Rain,0.65,11.04,0,Medium
SC-10160,2024-06-10,Antwerp,Busan,Air,Perishables,5832.86,308.69,3.03,4.4,Hurricane,0.807,1.3,1,Medium
SC-10161,2025-04-09,Singapore,Antwerp,Road,Pharmaceuticals,9668.43,21.13,3.23,5.3,Clear,0.973,6.95,0,Medium
SC-10162,2024-01-04,Antwerp,Marseille,Road,Perishables,9686.18,163.76,2.77,4.5,Fog,0.837,9.89,0,Medium
SC-10163,2024-09-26,Hamburg,Antwerp,Sea,Electronics,8268.73,234.81,2.49,4.9,Rain,0.891,17.38,0,Medium
SC-10164,2025-05-27,Hamburg,Marseille,Air,Electronics,1809.2,74.83,4.22,3.0,Hurricane,0.683,0.72,1,High
SC-10165,2024-07-01,Rotterdam,Los Angeles,Sea,Electronics,12611.89,492.34,1.61,1.6,Hurricane,0.636,151.28,1,Low
SC-10166,2025-06-03,Rotterdam,Marseille,Road,Pharmaceuticals,5151.31,105.34,2.58,0.5,Storm,0.727,8.38,0,Medium
SC-10167,2024-04-18,Hamburg,Singapore,Sea,Perishables,3204.52,66.05,2.34,2.0,Clear,0.904,4.73,0,Medium
SC-10168,2025-10-02,Singapore,Rotterdam,Road,Automotive,1091.24,102.56,2.84,5.8,Rain,0.728,1.56,0,Medium
SC-10169,2024-11-01,Dubai,Los Angeles,Rail,Electronics,9067.95,384.76,2.71,7.9,Fog,0.923,13.86,0,Medium
SC-10170,2025-10-16,Busan,Singapore,Rail,Electronics,10324.68,213.33,2.91,1.7,Hurricane,0.994,62.57,1,Medium
SC-10171,2025-06-03,Rotterdam,Busan,Road,Pharmaceuticals,740.52,283.14,1.66,1.1,Storm,0.536,0.73,1,Low
SC-10172,2025-09-15,Singapore,Hamburg,Sea,Automotive,7925.35,11.48,2.89,7.5,Hurricane,0.523,121.68,1,Medium
SC-10173,2024-07-22,Rotterdam,Hamburg,Road,Automotive,3784.19,18.18,2.0,3.1,Clear,0.575,2.96,1,Low
SC-10174,2024-06-05,Dubai,Los Angeles,Road,Automotive,9855.01,223.47,1.81,9.5,Clear,0.692,8.6,1,Low
SC-10175,2025-01-17,Singapore,Hamburg,Road,Automotive,3028.31,408.51,1.41,7.1,Rain,0.566,1.92,0,Low
SC-10176,2024-06-14,Hamburg,Marseille,Road,Pharmaceuticals,10518.6,442.73,3.72,3.3,Fog,0.935,11.4,0,Medium
SC-10177,2025-07-06,Busan,Shanghai,Sea,Textiles,6107.66,44.27,2.61,2.9,Fog,0.512,14.27,1,Medium
SC-10178,2025-06-27,Dubai,Rotterdam,Road,Textiles,14082.58,269.64,3.27,5.2,Storm,0.658,31.91,1,Medium
SC-10179,2024-01-01,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,3.6,0.8,Hurricane,0.592,14.44,1,Medium
SC-10180,2025-09-05,Dubai,Singapore,Rail,Perishables,5445.46,194.6,3.44,1.2,Fog,0.966,6.78,0,Medium
SC-10181,2024-11-27,Los Angeles,Marseille,Air,Perishables,2145.37,414.95,2.75,1.8,Clear,0.835,0.5,1,Medium
SC-10182,2025-05-15,Rotterdam,Hamburg,Rail,Automotive,13908.06,67.71,2.48,7.7,Hurricane,0.956,107.19,1,Medium
SC-10183,2024-01-20,Shanghai,Singapore,Rail,Automotive,13221.42,467.76,2.44,5.1,Fog,0.986,18.1,0,Medium
SC-10184,2024-04-24,Rotterdam,Marseille,Rail,Perishables,4240.15,375.96,3.31,0.1,Fog,0.749,4.11,0,Medium
SC-10185,2025-01-06,Antwerp,Hamburg,Road,Textiles,10069.77,470.73,2.83,6.7,Clear,0.617,8.42,1,Medium
SC-10186,2024-11-10,Antwerp,Rotterdam,Air,Perishables,12349.72,338.63,4.0,4.2,Fog,0.597,1.07,0,Medium
SC-10187,2024-09-02,Shanghai,Hamburg,Air,Automotive,8550.41,182.34,4.09,5.1,Hurricane,0.611,3.97,1,High
SC-10188,2024-02-29,Dubai,Singapore,Air,Pharmaceuticals,8179.93,469.15,1.76,2.1,Rain,0.854,0.57,0,Low
SC-10189,2024-09-03,Los Angeles,Marseille,Air,Automotive,4006.86,138.51,1.65,5.5,Rain,0.52,0.67,0,Low
SC-10190,2025-08-03,Los Angeles,Marseille,Sea,Electronics,1849.99,166.75,3.28,9.8,Storm,0.526,12.16,1,Medium
SC-10191,2024-03-21,Dubai,Shanghai,Road,Perishables,13509.63,350.7,2.19,0.7,Rain,0.804,10.74,0,Medium
SC-10192,2024-03-28,Dubai,Singapore,Rail,Pharmaceuticals,13556.06,382.89,1.26,2.8,Hurricane,0.821,85.86,1,Low
SC-10193,2025-05-12,Dubai,Marseille,Sea,Pharmaceuticals,9679.97,464.77,4.13,2.4,Clear,0.833,14.58,0,High
SC-10194,2024-03-11,Hamburg,Dubai,Air,Electronics,5415.93,103.2,1.95,2.5,Clear,0.686,0.5,1,Low
SC-10195,2025-06-29,Los Angeles,Dubai,Sea,Automotive,5563.54,399.2,4.27,3.8,Clear,0.903,8.6,0,High
SC-10196,2024-05-08,Busan,Shanghai,Air,Automotive,11026.36,369.53,3.57,8.2,Fog,0.767,1.11,1,Medium
SC-10197,2024-05-11,Singapore,Hamburg,Sea,Textiles,13508.1,32.83,3.72,9.1,Clear,0.553,27.15,1,Medium
SC-10198,2025-11-06,Shanghai,Rotterdam,Sea,Textiles,13362.75,194.22,1.86,2.0,Rain,0.899,24.89,0,Low
SC-10199,2025-05-01,Dubai,Antwerp,Rail,Perishables,11808.2,142.1,1.97,5.4,Storm,0.977,30.18,1,Low
SC-10200,2025-07-16,Busan,Hamburg,Sea,Perishables,9809.46,152.94,2.92,6.4,Hurricane,0.53,143.34,1,Medium
