Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred
SC-10122,9/26/2024,Los Angeles,Rotterdam,Road,Electronics,5111.05,29.06,4.14,5.1,Rain,0.982,4.12,1
SC-10123,8/21/2025,Hamburg,Shanghai,Road,Pharmaceuticals,2095.75,243.33,3.57,6.1,Clear,0.778,2.08,1
SC-10124,3/14/2025,Rotterdam,Singapore,Air,Perishables,3805.06,456.49,1.44,1.9,Clear,0.803,0.5,0
SC-10125,8/20/2025,Hamburg,Los Angeles,Air,Automotive,6693.06,305.57,3.91,2.7,Storm,0.593,1.46,1
SC-10126,2/12/2025,Hamburg,Los Angeles,Sea,Electronics,12361.21,273.66,2.83,6.4,Hurricane,0.848,182.19,1
SC-10127,1/5/2025,Rotterdam,Busan,Sea,Electronics,12980.59,125.62,3.99,4.7,Hurricane,0.535,177.59,1
SC-10128,8/12/2024,Singapore,Shanghai,Road,Electronics,600.81,172.29,3.18,8.6,Fog,0.642,0.5,0
SC-10129,5/21/2024,Hamburg,Shanghai,Road,Pharmaceuticals,7905.84,426.17,3.45,3.4,Fog,0.834,8.15,1
SC-10130,6/5/2025,Los Angeles,Dubai,Road,Electronics,6552.46,280.05,4.48,2.7,Hurricane,0.655,35.77,1
SC-10131,5/20/2025,Singapore,Hamburg,Air,Automotive,3720.56,257.86,1.97,9.8,Clear,0.525,0.57,0
SC-10132,4/3/2024,Dubai,Busan,Road,Perishables,2238.05,50.69,3.26,9.1,Hurricane,0.916,15.06,1
SC-10133,2/18/2024,Busan,Los Angeles,Road,Perishables,5395.42,9,2.72,0.3,Rain,0.655,4.29,0
SC-10134,4/22/2024,Shanghai,Rotterdam,Sea,Electronics,14172.19,481.88,1.33,7.7,Fog,0.532,40.3,1
SC-10135,6/5/2024,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,1.25,1.1,Storm,0.537,10.98,1
SC-10136,10/4/2025,Antwerp,Rotterdam,Air,Textiles,8022.46,302,1.59,0.3,Hurricane,0.626,3.33,1
SC-10137,6/12/2024,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,3.34,2.7,Rain,0.589,8.41,0
SC-10138,11/27/2025,Hamburg,Antwerp,Road,Pharmaceuticals,5772.63,341.87,3.07,2.7,Clear,0.887,4.34,1
SC-10139,3/8/2025,Singapore,Hamburg,Rail,Electronics,14590.84,466.35,3.03,8.2,Rain,0.661,17.28,0
SC-10140,9/2/2025,Antwerp,Dubai,Rail,Automotive,14455.49,288.26,1.31,7.1,Clear,0.902,14.49,1
SC-10141,3/6/2024,Antwerp,Dubai,Sea,Perishables,4150.84,63.93,2.75,9.8,Storm,0.587,25.66,1
SC-10142,1/29/2025,Antwerp,Busan,Road,Automotive,7710.1,291.28,4.25,7.1,Fog,0.746,9.27,0
SC-10143,1/25/2025,Dubai,Shanghai,Road,Electronics,4862.74,383.41,2.51,4.2,Rain,0.844,4.8,0
SC-10144,9/2/2025,Singapore,Antwerp,Road,Textiles,4630.19,203.8,3.26,7,Hurricane,0.826,29.71,1
SC-10145,4/24/2025,Singapore,Shanghai,Air,Automotive,1034.86,440.04,3.77,10,Storm,0.801,0.99,1
SC-10146,6/25/2025,Hamburg,Busan,Rail,Textiles,9338.68,324.69,3.79,7.1,Fog,0.962,13.45,0
SC-10147,9/14/2024,Los Angeles,Antwerp,Air,Pharmaceuticals,7788.85,449.73,2.91,7.6,Fog,0.614,0.5,1
SC-10148,7/20/2025,Busan,Singapore,Sea,Perishables,1246.44,312.13,4.03,9.4,Rain,0.747,3.64,0
SC-10149,1/12/2024,Los Angeles,Rotterdam,Road,Textiles,4540.37,66.51,2.49,1.1,Storm,0.942,9.02,0
SC-10150,11/27/2025,Dubai,Hamburg,Air,Automotive,13669.86,155.54,4.13,7,Storm,0.539,3.36,0
SC-10151,4/27/2024,Los Angeles,Rotterdam,Road,Perishables,3973.65,101.7,1.99,8.5,Rain,0.528,3.09,1
SC-10152,11/29/2025,Los Angeles,Hamburg,Air,Perishables,2600.98,454.5,2.12,9.5,Hurricane,0.617,1.27,1
SC-10153,7/3/2025,Hamburg,Singapore,Air,Textiles,7597.07,380.44,1.38,2.1,Rain,0.817,0.5,1
SC-10154,9/30/2024,Busan,Singapore,Rail,Electronics,14791.93,338.52,3.83,5,Fog,0.63,18.87,1
SC-10155,10/18/2025,Rotterdam,Los Angeles,Rail,Textiles,4009.8,151.18,2.58,6.8,Storm,0.595,12.07,1
SC-10156,12/14/2024,Shanghai,Antwerp,Road,Perishables,10245.97,92.84,1.96,2.5,Storm,0.729,20.55,1
SC-10157,4/24/2024,Rotterdam,Busan,Rail,Electronics,11543.48,378.47,1.96,6,Fog,0.807,15.62,0
SC-10158,10/27/2024,Rotterdam,Shanghai,Air,Electronics,3945.74,237.6,4.17,2.6,Rain,0.624,0.55,1
SC-10159,3/21/2025,Shanghai,Rotterdam,Rail,Textiles,11059.14,113.67,3.95,3.3,Rain,0.65,11.04,0
SC-10160,6/10/2024,Antwerp,Busan,Air,Perishables,5832.86,308.69,3.03,4.4,Hurricane,0.807,1.3,1
SC-10161,4/9/2025,Singapore,Antwerp,Road,Pharmaceuticals,9668.43,21.13,3.23,5.3,Clear,0.973,6.95,0
SC-10162,1/4/2024,Antwerp,Marseille,Road,Perishables,9686.18,163.76,2.77,4.5,Fog,0.837,9.89,0
SC-10163,9/26/2024,Hamburg,Antwerp,Sea,Electronics,8268.73,234.81,2.49,4.9,Rain,0.891,17.38,0
SC-10164,5/27/2025,Hamburg,Marseille,Air,Electronics,1809.2,74.83,4.22,3,Hurricane,0.683,0.72,1
SC-10165,7/1/2024,Rotterdam,Los Angeles,Sea,Electronics,12611.89,492.34,1.61,1.6,Hurricane,0.636,151.28,1
SC-10166,6/3/2025,Rotterdam,Marseille,Road,Pharmaceuticals,5151.31,105.34,2.58,0.5,Storm,0.727,8.38,0
SC-10167,4/18/2024,Hamburg,Singapore,Sea,Perishables,3204.52,66.05,2.34,2,Clear,0.904,4.73,0
SC-10168,10/2/2025,Singapore,Rotterdam,Road,Automotive,1091.24,102.56,2.84,5.8,Rain,0.728,1.56,0
SC-10169,11/1/2024,Dubai,Los Angeles,Rail,Electronics,9067.95,384.76,2.71,7.9,Fog,0.923,13.86,0
SC-10170,10/16/2025,Busan,Singapore,Rail,Electronics,10324.68,213.33,2.91,1.7,Hurricane,0.994,62.57,1
SC-10171,6/3/2025,Rotterdam,Busan,Road,Pharmaceuticals,740.52,283.14,1.66,1.1,Storm,0.536,0.73,1
SC-10172,9/15/2025,Singapore,Hamburg,Sea,Automotive,7925.35,11.48,2.89,7.5,Hurricane,0.523,121.68,1
SC-10173,7/22/2024,Rotterdam,Hamburg,Road,Automotive,3784.19,18.18,2,3.1,Clear,0.575,2.96,1
SC-10174,6/5/2024,Dubai,Los Angeles,Road,Automotive,9855.01,223.47,1.81,9.5,Clear,0.692,8.6,1
SC-10175,1/17/2025,Singapore,Hamburg,Road,Automotive,3028.31,408.51,1.41,7.1,Rain,0.566,1.92,0
SC-10176,6/14/2024,Hamburg,Marseille,Road,Pharmaceuticals,10518.6,442.73,3.72,3.3,Fog,0.935,11.4,0
SC-10177,7/6/2025,Busan,Shanghai,Sea,Textiles,6107.66,44.27,2.61,2.9,Fog,0.512,14.27,1
SC-10178,6/27/2025,Dubai,Rotterdam,Road,Textiles,14082.58,269.64,3.27,5.2,Storm,0.658,31.91,1
SC-10179,1/1/2024,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,3.6,0.8,Hurricane,0.592,14.44,1
SC-10180,9/5/2025,Dubai,Singapore,Rail,Perishables,5445.46,194.6,3.44,1.2,Fog,0.966,6.78,0
SC-10181,11/27/2024,Los Angeles,Marseille,Air,Perishables,2145.37,414.95,2.75,1.8,Clear,0.835,0.5,1
SC-10182,5/15/2025,Rotterdam,Hamburg,Rail,Automotive,13908.06,67.71,2.48,7.7,Hurricane,0.956,107.19,1
SC-10183,1/20/2024,Shanghai,Singapore,Rail,Automotive,13221.42,467.76,2.44,5.1,Fog,0.986,18.1,0
SC-10184,4/24/2024,Rotterdam,Marseille,Rail,Perishables,4240.15,375.96,3.31,0.1,Fog,0.749,4.11,0
SC-10185,1/6/2025,Antwerp,Hamburg,Road,Textiles,10069.77,470.73,2.83,6.7,Clear,0.617,8.42,1
SC-10186,11/10/2024,Antwerp,Rotterdam,Air,Perishables,12349.72,338.63,4,4.2,Fog,0.597,1.07,0
SC-10187,9/2/2024,Shanghai,Hamburg,Air,Automotive,8550.41,182.34,4.09,5.1,Hurricane,0.611,3.97,1
SC-10188,2/29/2024,Dubai,Singapore,Air,Pharmaceuticals,8179.93,469.15,1.76,2.1,Rain,0.854,0.57,0
SC-10189,9/3/2024,Los Angeles,Marseille,Air,Automotive,4006.86,138.51,1.65,5.5,Rain,0.52,0.67,0
SC-10190,8/3/2025,Los Angeles,Marseille,Sea,Electronics,1849.99,166.75,3.28,9.8,Storm,0.526,12.16,1
SC-10191,3/21/2024,Dubai,Shanghai,Road,Perishables,13509.63,350.7,2.19,0.7,Rain,0.804,10.74,0
SC-10192,3/28/2024,Dubai,Singapore,Rail,Pharmaceuticals,13556.06,382.89,1.26,2.8,Hurricane,0.821,85.86,1
SC-10193,5/12/2025,Dubai,Marseille,Sea,Pharmaceuticals,9679.97,464.77,4.13,2.4,Clear,0.833,14.58,0
SC-10194,3/11/2024,Hamburg,Dubai,Air,Electronics,5415.93,103.2,1.95,2.5,Clear,0.686,0.5,1
SC-10195,6/29/2025,Los Angeles,Dubai,Sea,Automotive,5563.54,399.2,4.27,3.8,Clear,0.903,8.6,0
SC-10196,5/8/2024,Busan,Shanghai,Air,Automotive,11026.36,369.53,3.57,8.2,Fog,0.767,1.11,1
SC-10197,5/11/2024,Singapore,Hamburg,Sea,Textiles,13508.1,32.83,3.72,9.1,Clear,0.553,27.15,1
SC-10198,11/6/2025,Shanghai,Rotterdam,Sea,Textiles,13362.75,194.22,1.86,2,Rain,0.899,24.89,0
SC-10199,5/1/2025,Dubai,Antwerp,Rail,Perishables,11808.2,142.1,1.97,5.4,Storm,0.977,30.18,1
SC-10200,7/16/2025,Busan,Hamburg,Sea,Perishables,9809.46,152.94,2.92,6.4,Hurricane,0.53,143.34,1
SC-10201,6/18/2024,Los Angeles,Dubai,Rail,Pharmaceuticals,1720.03,491.49,1.77,5.2,Clear,0.696,1.14,1
SC-10202,9/28/2024,Los Angeles,Singapore,Road,Automotive,2843.62,321.75,2.21,4.3,Clear,0.744,2.65,0
SC-10203,6/24/2025,Singapore,Marseille,Air,Perishables,13529.04,359.12,2.26,1.9,Fog,0.573,0.6,1
SC-10204,9/13/2025,Dubai,Marseille,Rail,Pharmaceuticals,9293.22,488.33,1.73,4.9,Rain,0.934,9.75,0
SC-10205,3/9/2025,Antwerp,Los Angeles,Air,Pharmaceuticals,633.36,189.22,1.88,4,Hurricane,0.642,0.5,1
SC-10206,8/4/2024,Shanghai,Hamburg,Road,Pharmaceuticals,1971.34,401.12,3.8,8,Hurricane,0.892,13.64,1
SC-10207,7/6/2025,Antwerp,Rotterdam,Rail,Electronics,10120.78,217.83,1.75,7.6,Storm,0.835,29.43,1
SC-10208,12/7/2025,Hamburg,Marseille,Air,Textiles,573.39,434.9,1.29,1.3,Hurricane,0.799,0.5,1
SC-10209,7/24/2024,Hamburg,Singapore,Air,Electronics,2831.72,91.15,3.28,0.9,Clear,0.596,0.5,1
SC-10210,12/31/2025,Singapore,Shanghai,Road,Automotive,8456.64,473.9,4.42,9.1,Clear,0.61,6.39,1
SC-10211,11/15/2024,Dubai,Antwerp,Rail,Pharmaceuticals,10532.48,110.17,2.29,5.4,Rain,0.524,11.25,1
